selection_groups,parent_rank,parent_residue,parent_component_count,parent_residual_measure,parent_max_component_width,parent_mod210,reflection_orbit,capacity_pass,lift_remainder,child_residue,transition_label,component_delta,phase_margin,phase_rank,aperture_tension,aperture_tension_rank,gap_width,gap_center,slack,nearest_q_grid_distance,is_close
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,1,375224,1,4/143,4/143,164,7/12,True,0,6501344,miss,0,-79/247,13,79/247,13,4/143,95/286,67/5434,95/286,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,1,375224,1,4/143,4/143,164,7/12,True,1,5990834,miss,0,-66/247,11,66/247,11,4/143,95/286,67/5434,1519/5434,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,1,375224,1,4/143,4/143,164,7/12,True,2,5480324,miss,0,-53/247,9,53/247,9,4/143,95/286,67/5434,1233/5434,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,1,375224,1,4/143,4/143,164,7/12,True,3,4969814,miss,0,-40/247,7,40/247,7,4/143,95/286,67/5434,947/5434,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,1,375224,1,4/143,4/143,164,7/12,True,4,4459304,miss,0,-27/247,5,27/247,5,4/143,95/286,67/5434,661/5434,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,1,375224,1,4/143,4/143,164,7/12,True,5,3948794,miss,0,-14/247,3,14/247,3,4/143,95/286,67/5434,375/5434,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,1,375224,1,4/143,4/143,164,7/12,True,6,3438284,trim,0,-1/247,1,1/247,1,4/143,95/286,67/5434,89/5434,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,1,375224,1,4/143,4/143,164,7/12,True,7,2927774,trim,0,-5/209,2,5/209,2,4/143,95/286,67/5434,197/5434,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,1,375224,1,4/143,4/143,164,7/12,True,8,2417264,miss,0,-16/209,4,16/209,4,4/143,95/286,67/5434,483/5434,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,1,375224,1,4/143,4/143,164,7/12,True,9,1906754,miss,0,-27/209,6,27/209,6,4/143,95/286,67/5434,769/5434,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,1,375224,1,4/143,4/143,164,7/12,True,10,1396244,miss,0,-2/11,8,2/11,8,4/143,95/286,67/5434,1055/5434,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,1,375224,1,4/143,4/143,164,7/12,True,11,885734,miss,0,-49/209,10,49/209,10,4/143,95/286,67/5434,1341/5434,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,1,375224,1,4/143,4/143,164,7/12,True,12,375224,miss,0,-60/209,12,60/209,12,4/143,95/286,67/5434,1627/5434,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,1,375224,1,4/143,4/143,164,7/12,True,13,9564404,miss,0,-71/209,14,71/209,14,4/143,95/286,67/5434,1913/5434,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,1,375224,1,4/143,4/143,164,7/12,True,14,9053894,miss,0,-82/209,16,82/209,16,4/143,95/286,67/5434,2199/5434,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,1,375224,1,4/143,4/143,164,7/12,True,15,8543384,miss,0,-93/209,18,93/209,18,4/143,95/286,67/5434,2485/5434,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,1,375224,1,4/143,4/143,164,7/12,True,16,8032874,miss,0,-118/247,19,118/247,19,4/143,95/286,67/5434,2663/5434,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,1,375224,1,4/143,4/143,164,7/12,True,17,7522364,miss,0,-105/247,17,105/247,17,4/143,95/286,67/5434,2377/5434,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,1,375224,1,4/143,4/143,164,7/12,True,18,7011854,miss,0,-92/247,15,92/247,15,4/143,95/286,67/5434,2091/5434,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,2,137121,1,1/39,1/39,201,2/17,True,0,8815791,miss,0,-41/247,7,41/247,7,1/39,32/39,10/741,7/39,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,2,137121,1,1/39,1/39,201,2/17,True,1,8305281,miss,0,-54/247,9,54/247,9,1/39,32/39,10/741,172/741,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,2,137121,1,1/39,1/39,201,2/17,True,2,7794771,miss,0,-67/247,11,67/247,11,1/39,32/39,10/741,211/741,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,2,137121,1,1/39,1/39,201,2/17,True,3,7284261,miss,0,-80/247,13,80/247,13,1/39,32/39,10/741,250/741,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,2,137121,1,1/39,1/39,201,2/17,True,4,6773751,miss,0,-93/247,15,93/247,15,1/39,32/39,10/741,289/741,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,2,137121,1,1/39,1/39,201,2/17,True,5,6263241,miss,0,-106/247,17,106/247,17,1/39,32/39,10/741,328/741,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,2,137121,1,1/39,1/39,201,2/17,True,6,5752731,miss,0,-119/247,19,119/247,19,1/39,32/39,10/741,367/741,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,2,137121,1,1/39,1/39,201,2/17,True,7,5242221,miss,0,-25/57,18,25/57,18,1/39,32/39,10/741,335/741,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,2,137121,1,1/39,1/39,201,2/17,True,8,4731711,miss,0,-22/57,16,22/57,16,1/39,32/39,10/741,296/741,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,2,137121,1,1/39,1/39,201,2/17,True,9,4221201,miss,0,-1/3,14,1/3,14,1/39,32/39,10/741,257/741,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,2,137121,1,1/39,1/39,201,2/17,True,10,3710691,miss,0,-16/57,12,16/57,12,1/39,32/39,10/741,218/741,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,2,137121,1,1/39,1/39,201,2/17,True,11,3200181,miss,0,-13/57,10,13/57,10,1/39,32/39,10/741,179/741,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,2,137121,1,1/39,1/39,201,2/17,True,12,2689671,miss,0,-10/57,8,10/57,8,1/39,32/39,10/741,140/741,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,2,137121,1,1/39,1/39,201,2/17,True,13,2179161,miss,0,-7/57,6,7/57,6,1/39,32/39,10/741,101/741,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,2,137121,1,1/39,1/39,201,2/17,True,14,1668651,miss,0,-4/57,4,4/57,4,1/39,32/39,10/741,62/741,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,2,137121,1,1/39,1/39,201,2/17,True,15,1158141,trim,0,-1/57,2,1/57,2,1/39,32/39,10/741,23/741,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,2,137121,1,1/39,1/39,201,2/17,True,16,647631,trim,0,-2/247,1,2/247,1,1/39,32/39,10/741,16/741,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,2,137121,1,1/39,1/39,201,2/17,True,17,137121,miss,0,-15/247,3,15/247,3,1/39,32/39,10/741,55/741,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,2,137121,1,1/39,1/39,201,2/17,True,18,9326301,miss,0,-28/247,5,28/247,5,1/39,32/39,10/741,94/741,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,3,168771,1,1/44,1/44,141,6/13,True,0,6805401,miss,0,-17/76,10,17/76,10,1/44,67/88,25/1672,21/88,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,3,168771,1,1/44,1/44,141,6/13,True,1,6294891,miss,0,-21/76,12,21/76,12,1/44,67/88,25/1672,487/1672,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,3,168771,1,1/44,1/44,141,6/13,True,2,5784381,miss,0,-25/76,14,25/76,14,1/44,67/88,25/1672,575/1672,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,3,168771,1,1/44,1/44,141,6/13,True,3,5273871,miss,0,-29/76,16,29/76,16,1/44,67/88,25/1672,663/1672,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,3,168771,1,1/44,1/44,141,6/13,True,4,4763361,miss,0,-33/76,18,33/76,18,1/44,67/88,25/1672,751/1672,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,3,168771,1,1/44,1/44,141,6/13,True,5,4252851,miss,0,-101/209,19,101/209,19,1/44,67/88,25/1672,833/1672,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,3,168771,1,1/44,1/44,141,6/13,True,6,3742341,miss,0,-90/209,17,90/209,17,1/44,67/88,25/1672,745/1672,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,3,168771,1,1/44,1/44,141,6/13,True,7,3231831,miss,0,-79/209,15,79/209,15,1/44,67/88,25/1672,657/1672,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,3,168771,1,1/44,1/44,141,6/13,True,8,2721321,miss,0,-68/209,13,68/209,13,1/44,67/88,25/1672,569/1672,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,3,168771,1,1/44,1/44,141,6/13,True,9,2210811,miss,0,-3/11,11,3/11,11,1/44,67/88,25/1672,481/1672,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,3,168771,1,1/44,1/44,141,6/13,True,10,1700301,miss,0,-46/209,9,46/209,9,1/44,67/88,25/1672,393/1672,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,3,168771,1,1/44,1/44,141,6/13,True,11,1189791,miss,0,-35/209,7,35/209,7,1/44,67/88,25/1672,305/1672,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,3,168771,1,1/44,1/44,141,6/13,True,12,679281,miss,0,-24/209,5,24/209,5,1/44,67/88,25/1672,217/1672,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,3,168771,1,1/44,1/44,141,6/13,True,13,168771,miss,0,-13/209,3,13/209,3,1/44,67/88,25/1672,129/1672,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,3,168771,1,1/44,1/44,141,6/13,True,14,9357951,trim,0,-2/209,1,2/209,1,1/44,67/88,25/1672,41/1672,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,3,168771,1,1/44,1/44,141,6/13,True,15,8847441,trim,0,-1/76,2,1/76,2,1/44,67/88,25/1672,47/1672,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,3,168771,1,1/44,1/44,141,6/13,True,16,8336931,miss,0,-5/76,4,5/76,4,1/44,67/88,25/1672,135/1672,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,3,168771,1,1/44,1/44,141,6/13,True,17,7826421,miss,0,-9/76,6,9/76,6,1/44,67/88,25/1672,223/1672,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,3,168771,1,1/44,1/44,141,6/13,True,18,7315911,miss,0,-13/76,8,13/76,8,1/44,67/88,25/1672,311/1672,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,4,182428,1,1/20,1/20,148,9/10,True,0,4777018,miss,0,-26/95,11,26/95,11,1/20,29/40,1/760,11/40,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,4,182428,1,1/20,1/20,148,9/10,True,1,4266508,miss,0,-31/95,13,31/95,13,1/20,29/40,1/760,249/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,4,182428,1,1/20,1/20,148,9/10,True,2,3755998,miss,0,-36/95,15,36/95,15,1/20,29/40,1/760,289/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,4,182428,1,1/20,1/20,148,9/10,True,3,3245488,miss,0,-41/95,17,41/95,17,1/20,29/40,1/760,329/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,4,182428,1,1/20,1/20,148,9/10,True,4,2734978,miss,0,-46/95,19,46/95,19,1/20,29/40,1/760,369/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,4,182428,1,1/20,1/20,148,9/10,True,5,2224468,miss,0,-35/76,18,35/76,18,1/20,29/40,1/760,351/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,4,182428,1,1/20,1/20,148,9/10,True,6,1713958,miss,0,-31/76,16,31/76,16,1/20,29/40,1/760,311/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,4,182428,1,1/20,1/20,148,9/10,True,7,1203448,miss,0,-27/76,14,27/76,14,1/20,29/40,1/760,271/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,4,182428,1,1/20,1/20,148,9/10,True,8,692938,miss,0,-23/76,12,23/76,12,1/20,29/40,1/760,231/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,4,182428,1,1/20,1/20,148,9/10,True,9,182428,miss,0,-1/4,10,1/4,10,1/20,29/40,1/760,191/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,4,182428,1,1/20,1/20,148,9/10,True,10,9371608,miss,0,-15/76,8,15/76,8,1/20,29/40,1/760,151/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,4,182428,1,1/20,1/20,148,9/10,True,11,8861098,miss,0,-11/76,6,11/76,6,1/20,29/40,1/760,111/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,4,182428,1,1/20,1/20,148,9/10,True,12,8350588,miss,0,-7/76,4,7/76,4,1/20,29/40,1/760,71/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,4,182428,1,1/20,1/20,148,9/10,True,13,7840078,trim,0,-3/76,2,3/76,2,1/20,29/40,1/760,31/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,4,182428,1,1/20,1/20,148,9/10,True,14,7329568,trim,0,-1/95,1,1/95,1,1/20,29/40,1/760,9/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,4,182428,1,1/20,1/20,148,9/10,True,15,6819058,miss,0,-6/95,3,6/95,3,1/20,29/40,1/760,49/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,4,182428,1,1/20,1/20,148,9/10,True,16,6308548,miss,0,-11/95,5,11/95,5,1/20,29/40,1/760,89/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,4,182428,1,1/20,1/20,148,9/10,True,17,5798038,miss,0,-16/95,7,16/95,7,1/20,29/40,1/760,129/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,4,182428,1,1/20,1/20,148,9/10,True,18,5287528,miss,0,-21/95,9,21/95,9,1/20,29/40,1/760,169/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,5,292982,1,3/85,3/85,32,2/17,True,0,1314002,miss,0,-26/95,11,26/95,11,3/85,24/85,14/1615,24/85,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,5,292982,1,3/85,3/85,32,2/17,True,1,803492,miss,0,-21/95,9,21/95,9,3/85,24/85,14/1615,371/1615,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,5,292982,1,3/85,3/85,32,2/17,True,2,292982,miss,0,-16/95,7,16/95,7,3/85,24/85,14/1615,286/1615,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,5,292982,1,3/85,3/85,32,2/17,True,3,9482162,miss,0,-11/95,5,11/95,5,3/85,24/85,14/1615,201/1615,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,5,292982,1,3/85,3/85,32,2/17,True,4,8971652,miss,0,-6/95,3,6/95,3,3/85,24/85,14/1615,116/1615,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,5,292982,1,3/85,3/85,32,2/17,True,5,8461142,trim,0,-1/95,1,1/95,1,3/85,24/85,14/1615,31/1615,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,5,292982,1,3/85,3/85,32,2/17,True,6,7950632,trim,0,-8/323,2,8/323,2,3/85,24/85,14/1615,54/1615,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,5,292982,1,3/85,3/85,32,2/17,True,7,7440122,miss,0,-25/323,4,25/323,4,3/85,24/85,14/1615,139/1615,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,5,292982,1,3/85,3/85,32,2/17,True,8,6929612,miss,0,-42/323,6,42/323,6,3/85,24/85,14/1615,224/1615,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,5,292982,1,3/85,3/85,32,2/17,True,9,6419102,miss,0,-59/323,8,59/323,8,3/85,24/85,14/1615,309/1615,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,5,292982,1,3/85,3/85,32,2/17,True,10,5908592,miss,0,-4/17,10,4/17,10,3/85,24/85,14/1615,394/1615,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,5,292982,1,3/85,3/85,32,2/17,True,11,5398082,miss,0,-93/323,12,93/323,12,3/85,24/85,14/1615,479/1615,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,5,292982,1,3/85,3/85,32,2/17,True,12,4887572,miss,0,-110/323,14,110/323,14,3/85,24/85,14/1615,564/1615,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,5,292982,1,3/85,3/85,32,2/17,True,13,4377062,miss,0,-127/323,16,127/323,16,3/85,24/85,14/1615,649/1615,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,5,292982,1,3/85,3/85,32,2/17,True,14,3866552,miss,0,-144/323,18,144/323,18,3/85,24/85,14/1615,734/1615,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,5,292982,1,3/85,3/85,32,2/17,True,15,3356042,miss,0,-46/95,19,46/95,19,3/85,24/85,14/1615,796/1615,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,5,292982,1,3/85,3/85,32,2/17,True,16,2845532,miss,0,-41/95,17,41/95,17,3/85,24/85,14/1615,711/1615,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,5,292982,1,3/85,3/85,32,2/17,True,17,2335022,miss,0,-36/95,15,36/95,15,3/85,24/85,14/1615,626/1615,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,5,292982,1,3/85,3/85,32,2/17,True,18,1824512,miss,0,-31/95,13,31/95,13,3/85,24/85,14/1615,541/1615,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,6,504868,1,1/20,1/20,28,0/0,True,0,504868,miss,0,-26/95,11,26/95,11,1/20,29/40,1/760,11/40,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,6,504868,1,1/20,1/20,28,0/0,True,1,9694048,miss,0,-31/95,13,31/95,13,1/20,29/40,1/760,249/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,6,504868,1,1/20,1/20,28,0/0,True,2,9183538,miss,0,-36/95,15,36/95,15,1/20,29/40,1/760,289/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,6,504868,1,1/20,1/20,28,0/0,True,3,8673028,miss,0,-41/95,17,41/95,17,1/20,29/40,1/760,329/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,6,504868,1,1/20,1/20,28,0/0,True,4,8162518,miss,0,-46/95,19,46/95,19,1/20,29/40,1/760,369/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,6,504868,1,1/20,1/20,28,0/0,True,5,7652008,miss,0,-35/76,18,35/76,18,1/20,29/40,1/760,351/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,6,504868,1,1/20,1/20,28,0/0,True,6,7141498,miss,0,-31/76,16,31/76,16,1/20,29/40,1/760,311/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,6,504868,1,1/20,1/20,28,0/0,True,7,6630988,miss,0,-27/76,14,27/76,14,1/20,29/40,1/760,271/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,6,504868,1,1/20,1/20,28,0/0,True,8,6120478,miss,0,-23/76,12,23/76,12,1/20,29/40,1/760,231/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,6,504868,1,1/20,1/20,28,0/0,True,9,5609968,miss,0,-1/4,10,1/4,10,1/20,29/40,1/760,191/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,6,504868,1,1/20,1/20,28,0/0,True,10,5099458,miss,0,-15/76,8,15/76,8,1/20,29/40,1/760,151/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,6,504868,1,1/20,1/20,28,0/0,True,11,4588948,miss,0,-11/76,6,11/76,6,1/20,29/40,1/760,111/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,6,504868,1,1/20,1/20,28,0/0,True,12,4078438,miss,0,-7/76,4,7/76,4,1/20,29/40,1/760,71/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,6,504868,1,1/20,1/20,28,0/0,True,13,3567928,trim,0,-3/76,2,3/76,2,1/20,29/40,1/760,31/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,6,504868,1,1/20,1/20,28,0/0,True,14,3057418,trim,0,-1/95,1,1/95,1,1/20,29/40,1/760,9/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,6,504868,1,1/20,1/20,28,0/0,True,15,2546908,miss,0,-6/95,3,6/95,3,1/20,29/40,1/760,49/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,6,504868,1,1/20,1/20,28,0/0,True,16,2036398,miss,0,-11/95,5,11/95,5,1/20,29/40,1/760,89/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,6,504868,1,1/20,1/20,28,0/0,True,17,1525888,miss,0,-16/95,7,16/95,7,1/20,29/40,1/760,129/760,False
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,6,504868,1,1/20,1/20,28,0/0,True,18,1015378,miss,0,-21/95,9,21/95,9,1/20,29/40,1/760,169/760,False
aperture_frontier_top_400;hash_control_200;orbit_diversity_400,7,330040,1,1/52,1/52,130,9/10,True,0,5435140,miss,0,-60/247,10,60/247,10,1/52,77/104,33/1976,27/104,False
aperture_frontier_top_400;hash_control_200;orbit_diversity_400,7,330040,1,1/52,1/52,130,9/10,True,1,4924630,miss,0,-73/247,12,73/247,12,1/52,77/104,33/1976,617/1976,False
aperture_frontier_top_400;hash_control_200;orbit_diversity_400,7,330040,1,1/52,1/52,130,9/10,True,2,4414120,miss,0,-86/247,14,86/247,14,1/52,77/104,33/1976,721/1976,False
aperture_frontier_top_400;hash_control_200;orbit_diversity_400,7,330040,1,1/52,1/52,130,9/10,True,3,3903610,miss,0,-99/247,16,99/247,16,1/52,77/104,33/1976,825/1976,False
aperture_frontier_top_400;hash_control_200;orbit_diversity_400,7,330040,1,1/52,1/52,130,9/10,True,4,3393100,miss,0,-112/247,18,112/247,18,1/52,77/104,33/1976,929/1976,False
aperture_frontier_top_400;hash_control_200;orbit_diversity_400,7,330040,1,1/52,1/52,130,9/10,True,5,2882590,miss,0,-35/76,19,35/76,19,1/52,77/104,33/1976,943/1976,False
aperture_frontier_top_400;hash_control_200;orbit_diversity_400,7,330040,1,1/52,1/52,130,9/10,True,6,2372080,miss,0,-31/76,17,31/76,17,1/52,77/104,33/1976,839/1976,False
aperture_frontier_top_400;hash_control_200;orbit_diversity_400,7,330040,1,1/52,1/52,130,9/10,True,7,1861570,miss,0,-27/76,15,27/76,15,1/52,77/104,33/1976,735/1976,False
aperture_frontier_top_400;hash_control_200;orbit_diversity_400,7,330040,1,1/52,1/52,130,9/10,True,8,1351060,miss,0,-23/76,13,23/76,13,1/52,77/104,33/1976,631/1976,False
aperture_frontier_top_400;hash_control_200;orbit_diversity_400,7,330040,1,1/52,1/52,130,9/10,True,9,840550,miss,0,-1/4,11,1/4,11,1/52,77/104,33/1976,527/1976,False
aperture_frontier_top_400;hash_control_200;orbit_diversity_400,7,330040,1,1/52,1/52,130,9/10,True,10,330040,miss,0,-15/76,9,15/76,9,1/52,77/104,33/1976,423/1976,False
aperture_frontier_top_400;hash_control_200;orbit_diversity_400,7,330040,1,1/52,1/52,130,9/10,True,11,9519220,miss,0,-11/76,7,11/76,7,1/52,77/104,33/1976,319/1976,False
aperture_frontier_top_400;hash_control_200;orbit_diversity_400,7,330040,1,1/52,1/52,130,9/10,True,12,9008710,miss,0,-7/76,5,7/76,5,1/52,77/104,33/1976,215/1976,False
aperture_frontier_top_400;hash_control_200;orbit_diversity_400,7,330040,1,1/52,1/52,130,9/10,True,13,8498200,miss,0,-3/76,3,3/76,3,1/52,77/104,33/1976,111/1976,False
aperture_frontier_top_400;hash_control_200;orbit_diversity_400,7,330040,1,1/52,1/52,130,9/10,True,14,7987690,close,-1,1/76,1,-1/76,1,1/52,77/104,33/1976,7/1976,True
aperture_frontier_top_400;hash_control_200;orbit_diversity_400,7,330040,1,1/52,1/52,130,9/10,True,15,7477180,miss,0,-8/247,2,8/247,2,1/52,77/104,33/1976,97/1976,False
aperture_frontier_top_400;hash_control_200;orbit_diversity_400,7,330040,1,1/52,1/52,130,9/10,True,16,6966670,miss,0,-21/247,4,21/247,4,1/52,77/104,33/1976,201/1976,False
aperture_frontier_top_400;hash_control_200;orbit_diversity_400,7,330040,1,1/52,1/52,130,9/10,True,17,6456160,miss,0,-34/247,6,34/247,6,1/52,77/104,33/1976,305/1976,False
aperture_frontier_top_400;hash_control_200;orbit_diversity_400,7,330040,1,1/52,1/52,130,9/10,True,18,5945650,miss,0,-47/247,8,47/247,8,1/52,77/104,33/1976,409/1976,False
